project_name,id,presale_platform,presale_fdv,ticker,price,totalSupply,ath
Aztec,178162,Coinlist,290000000.00,AZTEC,,,
Reya Labs,178913,Coinlist,150000000.00,REYA,,,
Immunefi,176683,Coinlist,133700000.00,IMU,,,
375ai,191468,Coinlist,75000000.00,EAT,0.032926133,1000000000,0.077044313
Tea,178397,Coinlist,50000000.00,TEA,,,
Intuition,184703,Coinlist,85000000.00,TRUST,0.106644097,1000000000,0.579432527
PublicAI,187783,Coinlist,70000000.00,PUBLIC,0.023517162,1000000000,0.086922386
Bitlayer,188150,Coinlist,200000000.00,BTR,0.026461012,1000000000,0.170898153
OneFootball,177652,Coinlist,50000000.00,OFC,,,
Pipe Network,192128,Coinlist,250000000.00,PIPE,0.064157837,1000000000,0.285731673
Enso,179882,Coinlist,125000000.00,ENSO,0.653640282,100000000,3.951205684
Acurast,198311,Coinlist,90000000.00,ACU,,,
Fleek,179071,Coinlist,75000000.00,FLK,0.061041735,100000000,0.729345597
DoubleZero,195210,Coinlist,750000000.00,2Z,0.108098337,10000000000,1.278360855
Arcium,178253,Coinlist,200000000.00,ARX,,,
Obol,179368,Coinlist,125000000.00,OBOL,0.022325513,500000000,0.59978758
WalletConnect,192625,Coinlist,200000000.00,WCT,0.073628252,1000075715,1.34879665
Aligned,189292,Coinlist,400000000.00,ALIGN,,,
Solayer,190170,Buidlpad,350000000.00,LAYER,0.162387263,1000000000,3.418803667
Sahara AI,188453,Buidlpad,600000000.00,SAHARA,0.026750634,10000000000,0.160942133
Lombard,190818,Buidlpad,450000000.00,BARD,0.786855468,1000000000,1.519157174
Falcon Finance,197894,Buidlpad,450000000.00,FF,0.09348957,10000000000,0.667439597
Momentum,179979,Buidlpad,350000000.00,MMT,0.210140005,1000000000,3.977455383
Aria,201833,Buidlpad,60000000.00,ARIAIP,0.028175549,1000000000,0.169577448
Ten,186779,Nozomi,80000000.00,TEN,0.00667614,1000000000,0.038503109
Lab,192473,Nozomi,25000000.00,LAB,0.15335092,1000000000,0.416352596
Vooi,190291,Cookie,112500000.00,VOOI,0.036041136,1000000000,0.169380686
Superform,187988,Cookie,90000000.00,UP,,,
Umbra,202720,MetaDao,8550000.00,UMBRA,1.081156712,28500000,2.471908611
Avici,202748,MetaDao,4520000.00,AVICI,2.598292912,12900000,7.568506214
Solomon,203316,MetaDao,20640000.00,SOLO,0.891751581,25800000,1.414627664
ZKLSOL,202921,MetaDao,774000.00,ZKFG,0.078290165,25800000,0.112024374
Loyal,202916,MetaDao,1150000.00,LOYAL,0.23626797,23076923,0.372331261
Paystream,203041,MetaDao,1360000.00,PAYS,0.051508966,24750000,0.090432289
Corn,191688,Legion,150000000.00,CORN,0.073760839,2100000000,0.1328726
Giza,185263,Legion,45000000.00,GIZA,0.042644026,1000000000,0.487014795
Lit Protocol,176701,Legion,250000000.00,LITKEY,0.018184221,1000000000,0.159256074
Skate,183599,Legion,80000000.00,SKATE,0.005738352,1001009048,0.10503821
Fragmetic,192787,Legion,125000000.00,FRAG,0.001836406,1000000000,0.167793555
Intuition,184703,Legion,50000000.00,TRUST,0.106644097,1000000000,0.579432527
Almanak,193889,Legion,90000000.00,ALMANAK,0.008936642,1000000000,0.182300006
YieldBasis,194992,Legion,200000000.00,YB,0.381186752,1000000000,0.824345703
Makina,200129,Legion,75000000.00,MAK,,,
HumidiFi,203181,Jupiter DTF,69000000.00,,,,
Theoriq,189896,Kaito,75000000.00,,,,
Boundless,201344,Kaito,290000000.00,,,,
Everlyn,201633,Kaito,250000000.00,,,,
SuperFluid,180051,Kaito,45000000.00,,,,
PlayAI,190162,Kaito,50000000.00,,,,
Hana,190039,Kaito,120000000.00,,,,
Anichess,184878,Kaito,35000000.00,,,,
Novastro,191274,Kaito,50000000.00,,,,
Limitless,192137,Kaito,75000000.00,,,,
ZKPass,184796,Kaito,100000000.00,,,,
BitDealer,203235,Kaito,35000000.00,,,,
Gensyn,178280,Echo,473000000.00,,,,
Harmonix,192421,Echo,25000000.00,,,,
MegaETH,190764,Echo,999000000.00,,,,
Plasma,192681,Echo,500000000.00,,,,
